PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Notes
P35189,LB-i2-10,A25189,LB-i2-10,none,none,nature,wild,none,S45189,i2-10,leaf,Emelliodora_LB_Block2,E12,i2-10,none,
P35190,LB-16-1,A25190,LB-16-1,none,none,nature,wild,none,S45190,16-1,leaf,Emelliodora_LB_Block2,F12,site16-1,none,
P35191,LB-16-2,A25191,LB-16-2,none,none,nature,wild,none,S45191,16-2,leaf,Emelliodora_LB_Block2,G12,site16-2,none,
P35192,LB-16-3,A25192,LB-16-3,none,none,nature,wild,none,S45192,16-3,leaf,Emelliodora_LB_Block2,H12,site16-3,none,failed—no reads
P35193,LB-16-4,A25193,LB-16-4,none,none,nature,wild,none,S45193,16-4,leaf,Emelliodora_LB_Block3,A1,site16-4,none,
P35194,LB-16-5,A25194,LB-16-5,none,none,nature,wild,none,S45194,16-5,leaf,Emelliodora_LB_Block3,B1,site16-5,none,
P35195,LB-16-6,A25195,LB-16-6,none,none,nature,wild,none,S45195,16-6,leaf,Emelliodora_LB_Block3,C1,site16-6,none,
P35196,LB-16-7,A25196,LB-16-7,none,none,nature,wild,none,S45196,16-7,leaf,Emelliodora_LB_Block3,D1,site16-7,none,
P35197,LB-2-1,A25197,LB-2-1,none,none,nature,wild,none,S45197,2-1,leaf,Emelliodora_LB_Block3,E1,site2-1,none,
P35198,LB-2-2,A25198,LB-2-2,none,none,nature,wild,none,S45198,2-2,leaf,Emelliodora_LB_Block3,F1,site2-2,none,
P35199,LB-2-3,A25199,LB-2-3,none,none,nature,wild,none,S45199,2-3,leaf,Emelliodora_LB_Block3,G1,site2-3,none,
P35200,LB-2-4,A25200,LB-2-4,none,none,nature,wild,none,S45200,2-4,leaf,Emelliodora_LB_Block3,H1,site2-4,none,failed—too few reads
P35201,LB-2-5,A25201,LB-2-5,none,none,nature,wild,none,S45201,2-5,leaf,Emelliodora_LB_Block3,A2,site2-5,none,
P35202,LB-2-6,A25202,LB-2-6,none,none,nature,wild,none,S45202,2-6,leaf,Emelliodora_LB_Block3,B2,site2-6,none,
P35203,LB-2-7,A25203,LB-2-7,none,none,nature,wild,none,S45203,2-7,leaf,Emelliodora_LB_Block3,C2,site2-7,none,
P35204,LB-2-8,A25204,LB-2-8,none,none,nature,wild,none,S45204,2-8,leaf,Emelliodora_LB_Block3,D2,site2-8,none,
P35205,LB-2-9,A25205,LB-2-9,none,none,nature,wild,none,S45205,2-9,leaf,Emelliodora_LB_Block3,E2,site2-9,none,
P35206,LB-2-10,A25206,LB-2-10,none,none,nature,wild,none,S45206,2-10,leaf,Emelliodora_LB_Block3,F2,site2-10,none,
P35207,LB-14-1,A25207,LB-14-1,none,none,nature,wild,none,S45207,14-1,leaf,Emelliodora_LB_Block3,G2,site14-1,none,
P35208,LB-14-2,A25208,LB-14-2,none,none,nature,wild,none,S45208,14-2,leaf,Emelliodora_LB_Block3,H2,site14-2,none,
P35209,LB-14-3,A25209,LB-14-3,none,none,nature,wild,none,S45209,14-3,leaf,Emelliodora_LB_Block3,A3,site14-3,none,
P35210,LB-14-4,A25210,LB-14-4,none,none,nature,wild,none,S45210,14-4,leaf,Emelliodora_LB_Block3,B3,site14-4,none,
P35211,LB-14-5,A25211,LB-14-5,none,none,nature,wild,none,S45211,14-5,leaf,Emelliodora_LB_Block3,C3,site14-5,none,
P35212,LB-14-6,A25212,LB-14-6,none,none,nature,wild,none,S45212,14-6,leaf,Emelliodora_LB_Block3,D3,site14-6,none,
P35213,LB-14-7,A25213,LB-14-7,none,none,nature,wild,none,S45213,14-7,leaf,Emelliodora_LB_Block3,E3,site14-7,none,
P35214,LB-14-8,A25214,LB-14-8,none,none,nature,wild,none,S45214,14-8,leaf,Emelliodora_LB_Block3,F3,site14-8,none,
P35215,LB-14-9,A25215,LB-14-9,none,none,nature,wild,none,S45215,14-9,leaf,Emelliodora_LB_Block3,G3,site14-9,none,
P35216,LB-14-10,A25216,LB-14-10,none,none,nature,wild,none,S45216,14-10,leaf,Emelliodora_LB_Block3,H3,site14-10,none,
P35217,LB-5-1,A25217,LB-5-1,none,none,nature,wild,none,S45217,5-1,leaf,Emelliodora_LB_Block3,A4,site5-1,none,xoutlier
P35218,LB-5-2,A25218,LB-5-2,none,none,nature,wild,none,S45218,5-2,leaf,Emelliodora_LB_Block3,B4,site5-2,none,
P35219,LB-5-3,A25219,LB-5-3,none,none,nature,wild,none,S45219,5-3,leaf,Emelliodora_LB_Block3,C4,site5-3,none,
P35220,LB-5-4,A25220,LB-5-4,none,none,nature,wild,none,S45220,5-4,leaf,Emelliodora_LB_Block3,D4,site5-4,none,
P35221,LB-5-5,A25221,LB-5-5,none,none,nature,wild,none,S45221,5-5,leaf,Emelliodora_LB_Block3,E4,site5-5,none,
P35222,LB-5-6,A25222,LB-5-6,none,none,nature,wild,none,S45222,5-6,leaf,Emelliodora_LB_Block3,F4,site5-6,none,
P35223,LB-5-7,A25223,LB-5-7,none,none,nature,wild,none,S45223,5-7,leaf,Emelliodora_LB_Block3,G4,site5-7,none,
P35224,LB-5-8,A25224,LB-5-8,none,none,nature,wild,none,S45224,5-8,leaf,Emelliodora_LB_Block3,H4,site5-8,none,
P35225,LB-5-9,A25225,LB-5-9,none,none,nature,wild,none,S45225,5-9,leaf,Emelliodora_LB_Block3,A5,site5-9,none,
P35226,LB-5-10,A25226,LB-5-10,none,none,nature,wild,none,S45226,5-10,leaf,Emelliodora_LB_Block3,B5,site5-10,none,
P35227,LB-10-1,A25227,LB-10-1,none,none,nature,wild,none,S45227,10-1,leaf,Emelliodora_LB_Block3,C5,site10-1,none,
P35228,LB-10-2,A25228,LB-10-2,none,none,nature,wild,none,S45228,10-2,leaf,Emelliodora_LB_Block3,D5,site10-2,none,
P35229,LB-10-3,A25229,LB-10-3,none,none,nature,wild,none,S45229,10-3,leaf,Emelliodora_LB_Block3,E5,site10-3,none,
P35230,LB-10-4,A25230,LB-10-4,none,none,nature,wild,none,S45230,10-4,leaf,Emelliodora_LB_Block3,F5,site10-4,none,
P35231,LB-10-5,A25231,LB-10-5,none,none,nature,wild,none,S45231,10-5,leaf,Emelliodora_LB_Block3,G5,site10-5,none,
P35232,LB-10-6,A25232,LB-10-6,none,none,nature,wild,none,S45232,10-6,leaf,Emelliodora_LB_Block3,H5,site10-6,none,
P35233,LB-10-7,A25233,LB-10-7,none,none,nature,wild,none,S45233,10-7,leaf,Emelliodora_LB_Block3,A6,site10-7,none,
P35234,LB-10-8,A25234,LB-10-8,none,none,nature,wild,none,S45234,10-8,leaf,Emelliodora_LB_Block3,B6,site10-8,none,
P35235,LB-10-9,A25235,LB-10-9,none,none,nature,wild,none,S45235,10-9,leaf,Emelliodora_LB_Block3,C6,site10-9,none,
P35236,LB-10-10,A25236,LB-10-10,none,none,nature,wild,none,S45236,10-10,leaf,Emelliodora_LB_Block3,D6,site10-10,none,
P35237,LB-T1-1,A25237,LB-T1-1,none,none,nature,wild,none,S45237,T1-1,leaf,Emelliodora_LB_Block3,E6,T1-1,none,
P35238,LB-T1-2,A25238,LB-T1-2,none,none,nature,wild,none,S45238,T1-2,leaf,Emelliodora_LB_Block3,F6,T1-2,none,
P35239,LB-T1-3,A25239,LB-T1-3,none,none,nature,wild,none,S45239,T1-3,leaf,Emelliodora_LB_Block3,G6,T1-3,none,
P35240,LB-T1-4,A25240,LB-T1-4,none,none,nature,wild,none,S45240,T1-4,leaf,Emelliodora_LB_Block3,H6,T1-4,none,
P35241,LB-T1-5,A25241,LB-T1-5,none,none,nature,wild,none,S45241,T1-5,leaf,Emelliodora_LB_Block3,A7,T1-5,none,
P35242,LB-T1-6,A25242,LB-T1-6,none,none,nature,wild,none,S45242,T1-6,leaf,Emelliodora_LB_Block3,B7,T1-6,none,
P35243,LB-T1-7,A25243,LB-T1-7,none,none,nature,wild,none,S45243,T1-7,leaf,Emelliodora_LB_Block3,C7,T1-7,none,
P35244,LB-T1-8,A25244,LB-T1-8,none,none,nature,wild,none,S45244,T1-8,leaf,Emelliodora_LB_Block3,D7,T1-8,none,
P35245,LB-T1-9,A25245,LB-T1-9,none,none,nature,wild,none,S45245,T1-9,leaf,Emelliodora_LB_Block3,E7,T1-9,none,
P35246,LB-T1-10,A25246,LB-T1-10,none,none,nature,wild,none,S45246,T1-10,leaf,Emelliodora_LB_Block3,F7,T1-10,none,
P35247,LB-19-1,A25247,LB-19-1,none,none,nature,wild,none,S45247,19-1,leaf,Emelliodora_LB_Block3,G7,site19-1,none,
P35248,LB-19-2,A25248,LB-19-2,none,none,nature,wild,none,S45248,19-2,leaf,Emelliodora_LB_Block3,H7,site19-2,none,
P35249,LB-19-3,A25249,LB-19-3,none,none,nature,wild,none,S45249,19-3,leaf,Emelliodora_LB_Block3,A8,site19-3,none,
P35250,LB-19-4,A25250,LB-19-4,none,none,nature,wild,none,S45250,19-4,leaf,Emelliodora_LB_Block3,B8,site19-4,none,
P35251,LB-19-5,A25251,LB-19-5,none,none,nature,wild,none,S45251,19-5,leaf,Emelliodora_LB_Block3,C8,site19-5,none,
P35252,LB-19-6,A25252,LB-19-6,none,none,nature,wild,none,S45252,19-6,leaf,Emelliodora_LB_Block3,D8,site19-6,none,
P35253,LB-19-7,A25253,LB-19-7,none,none,nature,wild,none,S45253,19-7,leaf,Emelliodora_LB_Block3,E8,site19-7,none,
P35254,LB-19-8,A25254,LB-19-8,none,none,nature,wild,none,S45254,19-8,leaf,Emelliodora_LB_Block3,F8,site19-8,none,
P35255,LB-19-9,A25255,LB-19-9,none,none,nature,wild,none,S45255,19-9,leaf,Emelliodora_LB_Block3,G8,site19-9,none,
P35256,LB-19-10,A25256,LB-19-10,none,none,nature,wild,none,S45256,19-10,leaf,Emelliodora_LB_Block3,H8,site19-10,none,
P35257,LB-K2-1,A25257,LB-K2-1,none,none,nature,wild,none,S45257,K2-1,leaf,Emelliodora_LB_Block3,A9,K2-1,none,
P35258,LB-K2-2,A25258,LB-K2-2,none,none,nature,wild,none,S45258,K2-2,leaf,Emelliodora_LB_Block3,B9,K2-2,none,
P35259,LB-K2-3,A25259,LB-K2-3,none,none,nature,wild,none,S45259,K2-3,leaf,Emelliodora_LB_Block3,C9,K2-3,none,
P35260,LB-K2-4,A25260,LB-K2-4,none,none,nature,wild,none,S45260,K2-4,leaf,Emelliodora_LB_Block3,D9,K2-4,none,
P35261,LB-K2-5,A25261,LB-K2-5,none,none,nature,wild,none,S45261,K2-5,leaf,Emelliodora_LB_Block3,E9,K2-5,none,
P35262,LB-K2-6,A25262,LB-K2-6,none,none,nature,wild,none,S45262,K2-6,leaf,Emelliodora_LB_Block3,F9,K2-6,none,
P35263,LB-K2-7,A25263,LB-K2-7,none,none,nature,wild,none,S45263,K2-7,leaf,Emelliodora_LB_Block3,G9,K2-7,none,
P35264,LB-K2-8,A25264,LB-K2-8,none,none,nature,wild,none,S45264,K2-8,leaf,Emelliodora_LB_Block3,H9,K2-8,none,
P35265,LB-K2-9,A25265,LB-K2-9,none,none,nature,wild,none,S45265,K2-9,leaf,Emelliodora_LB_Block3,A10,K2-9,none,
P35266,LB-K2-10,A25266,LB-K2-10,none,none,nature,wild,none,S45266,K2-10,leaf,Emelliodora_LB_Block3,B10,K2-10,none,
P35267,LB-20-1,A25267,LB-20-1,none,none,nature,wild,none,S45267,20-1,leaf,Emelliodora_LB_Block3,C10,site20-1,none,
P35268,LB-20-2,A25268,LB-20-2,none,none,nature,wild,none,S45268,20-2,leaf,Emelliodora_LB_Block3,D10,site20-2,none,
P35269,LB-20-3,A25269,LB-20-3,none,none,nature,wild,none,S45269,20-3,leaf,Emelliodora_LB_Block3,E10,site20-3,none,failed—too few reads
P35270,LB-20-4,A25270,LB-20-4,none,none,nature,wild,none,S45270,20-4,leaf,Emelliodora_LB_Block3,F10,site20-4,none,
P35271,LB-20-5,A25271,LB-20-5,none,none,nature,wild,none,S45271,20-5,leaf,Emelliodora_LB_Block3,G10,site20-5,none,
P35272,LB-20-6,A25272,LB-20-6,none,none,nature,wild,none,S45272,20-6,leaf,Emelliodora_LB_Block3,H10,site20-6,none,
P35273,LB-20-7,A25273,LB-20-7,none,none,nature,wild,none,S45273,20-7,leaf,Emelliodora_LB_Block3,A11,site20-7,none,
P35274,LB-20-8,A25274,LB-20-8,none,none,nature,wild,none,S45274,20-8,leaf,Emelliodora_LB_Block3,B11,site20-8,none,
P35275,LB-20-9,A25275,LB-20-9,none,none,nature,wild,none,S45275,20-9,leaf,Emelliodora_LB_Block3,C11,site20-9,none,
P35276,LB-20-10,A25276,LB-20-10,none,none,nature,wild,none,S45276,20-10,leaf,Emelliodora_LB_Block3,D11,site20-10,none,
P35277,LB-W2-1,A25277,LB-W2-1,none,none,nature,wild,none,S45277,W2-1,leaf,Emelliodora_LB_Block3,E11,W2-1,none,
P35278,LB-W2-2,A25278,LB-W2-2,none,none,nature,wild,none,S45278,W2-2,leaf,Emelliodora_LB_Block3,F11,W2-2,none,
P35279,LB-W2-3,A25279,LB-W2-3,none,none,nature,wild,none,S45279,W2-3,leaf,Emelliodora_LB_Block3,G11,W2-3,none,
P35280,LB-W2-4,A25280,LB-W2-4,none,none,nature,wild,none,S45280,W2-4,leaf,Emelliodora_LB_Block3,H11,W2-4,none,
P35281,LB-W2-5,A25281,LB-W2-5,none,none,nature,wild,none,S45281,W2-5,leaf,Emelliodora_LB_Block3,A12,W2-5,none,
P35282,LB-W2-6,A25282,LB-W2-6,none,none,nature,wild,none,S45282,W2-6,leaf,Emelliodora_LB_Block3,B12,W2-6,none,
P35283,LB-W2-7,A25283,LB-W2-7,none,none,nature,wild,none,S45283,W2-7,leaf,Emelliodora_LB_Block3,C12,W2-7,none,
P35284,LB-W2-8,A25284,LB-W2-8,none,none,nature,wild,none,S45284,W2-8,leaf,Emelliodora_LB_Block3,D12,W2-8,none,
P35285,LB-W2-9,A25285,LB-W2-9,none,none,nature,wild,none,S45285,W2-9,leaf,Emelliodora_LB_Block3,E12,W2-9,none,failed—too few reads
P35286,LB-W2-10,A25286,LB-W2-10,none,none,nature,wild,none,S45286,W2-10,leaf,Emelliodora_LB_Block3,F12,W2-10,none,failed—too few reads
P35287,LB-24-1,A25287,LB-24-1,none,none,nature,wild,none,S45287,24-1,leaf,Emelliodora_LB_Block3,G12,site24-1,none,
P35288,LB-24-2,A25288,LB-24-2,none,none,nature,wild,none,S45288,24-2,leaf,Emelliodora_LB_Block3,H12,site24-2,none,failed—no reads
P35289,LB-24-3,A25289,LB-24-3,none,none,nature,wild,none,S45289,24-3,leaf,Emelliodora_LB_Block4,A1,site24-3,none,
P35290,LB-24-4,A25290,LB-24-4,none,none,nature,wild,none,S45290,24-4,leaf,Emelliodora_LB_Block4,B1,site24-4,none,
P35291,LB-24-5,A25291,LB-24-5,none,none,nature,wild,none,S45291,24-5,leaf,Emelliodora_LB_Block4,C1,site24-5,none,
P35292,LB-24-6,A25292,LB-24-6,none,none,nature,wild,none,S45292,24-6,leaf,Emelliodora_LB_Block4,D1,site24-6,none,
P35293,LB-24-7,A25293,LB-24-7,none,none,nature,wild,none,S45293,24-7,leaf,Emelliodora_LB_Block4,E1,site24-7,none,
P35294,LB-24-8,A25294,LB-24-8,none,none,nature,wild,none,S45294,24-8,leaf,Emelliodora_LB_Block4,F1,site24-8,none,
P35295,LB-24-9,A25295,LB-24-9,none,none,nature,wild,none,S45295,24-9,leaf,Emelliodora_LB_Block4,G1,site24-9,none,
P35296,LB-24-10,A25296,LB-24-10,none,none,nature,wild,none,S45296,24-10,leaf,Emelliodora_LB_Block4,H1,site24-10,none,failed—too few reads
P35297,LB-W3-1,A25297,LB-W3-1,none,none,nature,wild,none,S45297,W3-1,leaf,Emelliodora_LB_Block4,A2,W3-1,none,
P35298,LB-W3-2,A25298,LB-W3-2,none,none,nature,wild,none,S45298,W3-2,leaf,Emelliodora_LB_Block4,B2,W3-2,none,
P35299,LB-W3-3,A25299,LB-W3-3,none,none,nature,wild,none,S45299,W3-3,leaf,Emelliodora_LB_Block4,C2,W3-3,none,
P35300,LB-W3-4,A25300,LB-W3-4,none,none,nature,wild,none,S45300,W3-4,leaf,Emelliodora_LB_Block4,D2,W3-4,none,
P35301,LB-W3-5,A25301,LB-W3-5,none,none,nature,wild,none,S45301,W3-5,leaf,Emelliodora_LB_Block4,E2,W3-5,none,
P35302,LB-W3-6,A25302,LB-W3-6,none,none,nature,wild,none,S45302,W3-6,leaf,Emelliodora_LB_Block4,F2,W3-6,none,
P35303,LB-W3-7,A25303,LB-W3-7,none,none,nature,wild,none,S45303,W3-7,leaf,Emelliodora_LB_Block4,G2,W3-7,none,
P35304,LB-W3-8,A25304,LB-W3-8,none,none,nature,wild,none,S45304,W3-8,leaf,Emelliodora_LB_Block4,H2,W3-8,none,
P35305,LB-W3-9,A25305,LB-W3-9,none,none,nature,wild,none,S45305,W3-9,leaf,Emelliodora_LB_Block4,A3,W3-9,none,
P35306,LB-W3-10,A25306,LB-W3-10,none,none,nature,wild,none,S45306,W3-10,leaf,Emelliodora_LB_Block4,B3,W3-10,none,
P35307,LB-T3-1,A25307,LB-T3-1,none,none,nature,wild,none,S45307,T3-1,leaf,Emelliodora_LB_Block4,C3,T3-1,none,
P35308,LB-T3-2,A25308,LB-T3-2,none,none,nature,wild,none,S45308,T3-2,leaf,Emelliodora_LB_Block4,D3,T3-2,none,
P35309,LB-T3-3,A25309,LB-T3-3,none,none,nature,wild,none,S45309,T3-3,leaf,Emelliodora_LB_Block4,E3,T3-3,none,
P35310,LB-T3-4,A25310,LB-T3-4,none,none,nature,wild,none,S45310,T3-4,leaf,Emelliodora_LB_Block4,F3,T3-4,none,
P35311,LB-T3-5,A25311,LB-T3-5,none,none,nature,wild,none,S45311,T3-5,leaf,Emelliodora_LB_Block4,G3,T3-5,none,
P35312,LB-T3-6,A25312,LB-T3-6,none,none,nature,wild,none,S45312,T3-6,leaf,Emelliodora_LB_Block4,H3,T3-6,none,
P35313,LB-T3-7,A25313,LB-T3-7,none,none,nature,wild,none,S45313,T3-7,leaf,Emelliodora_LB_Block4,A4,T3-7,none,
P35314,LB-T3-8,A25314,LB-T3-8,none,none,nature,wild,none,S45314,T3-8,leaf,Emelliodora_LB_Block4,B4,T3-8,none,
P35315,LB-T3-9,A25315,LB-T3-9,none,none,nature,wild,none,S45315,T3-9,leaf,Emelliodora_LB_Block4,C4,T3-9,none,
P35316,LB-T3-10,A25316,LB-T3-10,none,none,nature,wild,none,S45316,T3-10,leaf,Emelliodora_LB_Block4,D4,T3-10,none,
P35317,LB-21-1,A25317,LB-21-1,none,none,nature,wild,none,S45317,21-1,leaf,Emelliodora_LB_Block4,E4,site21-1,none,
P35318,LB-21-2,A25318,LB-21-2,none,none,nature,wild,none,S45318,21-2,leaf,Emelliodora_LB_Block4,F4,site21-2,none,
P35319,LB-21-3,A25319,LB-21-3,none,none,nature,wild,none,S45319,21-3,leaf,Emelliodora_LB_Block4,G4,site21-3,none,
P35320,LB-21-4,A25320,LB-21-4,none,none,nature,wild,none,S45320,21-4,leaf,Emelliodora_LB_Block4,H4,site21-4,none,
P35321,LB-21-5,A25321,LB-21-5,none,none,nature,wild,none,S45321,21-5,leaf,Emelliodora_LB_Block4,A5,site21-5,none,
P35322,LB-21-6,A25322,LB-21-6,none,none,nature,wild,none,S45322,21-6,leaf,Emelliodora_LB_Block4,B5,site21-6,none,
P35323,LB-21-7,A25323,LB-21-7,none,none,nature,wild,none,S45323,21-7,leaf,Emelliodora_LB_Block4,C5,site21-7,none,
P35324,LB-21-8,A25324,LB-21-8,none,none,nature,wild,none,S45324,21-8,leaf,Emelliodora_LB_Block4,D5,site21-8,none,
P35325,LB-21-9,A25325,LB-21-9,none,none,nature,wild,none,S45325,21-9,leaf,Emelliodora_LB_Block4,E5,site21-9,none,
P35326,LB-21-10,A25326,LB-21-10,none,none,nature,wild,none,S45326,21-10,leaf,Emelliodora_LB_Block4,F5,site21-10,none,
P35327,LB-T2-1,A25327,LB-T2-1,none,none,nature,wild,none,S45327,T2-1,leaf,Emelliodora_LB_Block4,G5,T2-1,none,
P35328,LB-T2-2,A25328,LB-T2-2,none,none,nature,wild,none,S45328,T2-2,leaf,Emelliodora_LB_Block4,H5,T2-2,none,
P35329,LB-T2-3,A25329,LB-T2-3,none,none,nature,wild,none,S45329,T2-3,leaf,Emelliodora_LB_Block4,A6,T2-3,none,
P35330,LB-T2-4,A25330,LB-T2-4,none,none,nature,wild,none,S45330,T2-4,leaf,Emelliodora_LB_Block4,B6,T2-4,none,
P35331,LB-T2-5,A25331,LB-T2-5,none,none,nature,wild,none,S45331,T2-5,leaf,Emelliodora_LB_Block4,C6,T2-5,none,
P35332,LB-T2-6,A25332,LB-T2-6,none,none,nature,wild,none,S45332,T2-6,leaf,Emelliodora_LB_Block4,D6,T2-6,none,
P35333,LB-T2-7,A25333,LB-T2-7,none,none,nature,wild,none,S45333,T2-7,leaf,Emelliodora_LB_Block4,E6,T2-7,none,
P35334,LB-T2-8,A25334,LB-T2-8,none,none,nature,wild,none,S45334,T2-8,leaf,Emelliodora_LB_Block4,F6,T2-8,none,
P35335,LB-T2-9,A25335,LB-T2-9,none,none,nature,wild,none,S45335,T2-9,leaf,Emelliodora_LB_Block4,G6,T2-9,none,
P35336,LB-T2-10,A25336,LB-T2-10,none,none,nature,wild,none,S45336,T2-10,leaf,Emelliodora_LB_Block4,H6,T2-10,none,
P35337,LB-13-1,A25337,LB-13-1,none,none,nature,wild,none,S45337,13-1,leaf,Emelliodora_LB_Block4,A7,site13-1,none,
P35338,LB-13-2,A25338,LB-13-2,none,none,nature,wild,none,S45338,13-2,leaf,Emelliodora_LB_Block4,B7,site13-2,none,
P35339,LB-13-3,A25339,LB-13-3,none,none,nature,wild,none,S45339,13-3,leaf,Emelliodora_LB_Block4,C7,site13-3,none,
P35340,LB-13-4,A25340,LB-13-4,none,none,nature,wild,none,S45340,13-4,leaf,Emelliodora_LB_Block4,D7,site13-4,none,
P35341,LB-13-5,A25341,LB-13-5,none,none,nature,wild,none,S45341,13-5,leaf,Emelliodora_LB_Block4,E7,site13-5,none,
P35342,LB-13-6,A25342,LB-13-6,none,none,nature,wild,none,S45342,13-6,leaf,Emelliodora_LB_Block4,F7,site13-6,none,
P35343,LB-26-1,A25343,LB-26-1,none,none,nature,wild,none,S45343,26-1,leaf,Emelliodora_LB_Block4,G7,site26-1,none,xoutlier
P35344,LB-26-2,A25344,LB-26-2,none,none,nature,wild,none,S45344,26-2,leaf,Emelliodora_LB_Block4,H7,site26-2,none,xoutlier
P35345,LB-26-3,A25345,LB-26-3,none,none,nature,wild,none,S45345,26-3,leaf,Emelliodora_LB_Block4,A8,site26-3,none,xoutlier
P35346,LB-26-4,A25346,LB-26-4,none,none,nature,wild,none,S45346,26-4,leaf,Emelliodora_LB_Block4,B8,site26-4,none,xoutlier
P35347,LB-26-5,A25347,LB-26-5,none,none,nature,wild,none,S45347,26-5,leaf,Emelliodora_LB_Block4,C8,site26-5,none,xoutlier
P35348,LB-26-6,A25348,LB-26-6,none,none,nature,wild,none,S45348,26-6,leaf,Emelliodora_LB_Block4,D8,site26-6,none,
P35349,LB-26-7,A25349,LB-26-7,none,none,nature,wild,none,S45349,26-7,leaf,Emelliodora_LB_Block4,E8,site26-7,none,xoutlier
P35350,LB-26-8,A25350,LB-26-8,none,none,nature,wild,none,S45350,26-8,leaf,Emelliodora_LB_Block4,F8,site26-8,none,xoutlier
P35351,LB-26-9,A25351,LB-26-9,none,none,nature,wild,none,S45351,26-9,leaf,Emelliodora_LB_Block4,G8,site26-9,none,
P35352,LB-26-10,A25352,LB-26-10,none,none,nature,wild,none,S45352,26-10,leaf,Emelliodora_LB_Block4,H8,site26-10,none,xoutlier
P35353,LB-i1-1,A25353,LB-i1-1,none,none,nature,wild,none,S45353,i1-1,leaf,Emelliodora_LB_Block4,A9,i1-1,none,
P35354,LB-i1-2,A25354,LB-i1-2,none,none,nature,wild,none,S45354,i1-2,leaf,Emelliodora_LB_Block4,B9,i1-2,none,
P35355,LB-i1-3,A25355,LB-i1-3,none,none,nature,wild,none,S45355,i1-3,leaf,Emelliodora_LB_Block4,C9,i1-3,none,
P35356,LB-i1-4,A25356,LB-i1-4,none,none,nature,wild,none,S45356,i1-4,leaf,Emelliodora_LB_Block4,D9,i1-4,none,
P35357,LB-i1-5,A25357,LB-i1-5,none,none,nature,wild,none,S45357,i1-5,leaf,Emelliodora_LB_Block4,E9,i1-5,none,
P35358,LB-i1-6,A25358,LB-i1-6,none,none,nature,wild,none,S45358,i1-6,leaf,Emelliodora_LB_Block4,F9,i1-6,none,
P35359,LB-i1-7,A25359,LB-i1-7,none,none,nature,wild,none,S45359,i1-7,leaf,Emelliodora_LB_Block4,G9,i1-7,none,
P35360,LB-i1-8,A25360,LB-i1-8,none,none,nature,wild,none,S45360,i1-8,leaf,Emelliodora_LB_Block4,H9,i1-8,none,
P35361,LB-i1-9,A25361,LB-i1-9,none,none,nature,wild,none,S45361,i1-9,leaf,Emelliodora_LB_Block4,A10,i1-9,none,
P35362,LB-i1-10,A25362,LB-i1-10,none,none,nature,wild,none,S45362,i1-10,leaf,Emelliodora_LB_Block4,B10,i1-10,none,
P35363,LB-O-1,A25363,LB-O-1,none,none,nature,wild,none,S45363,O-1,leaf,Emelliodora_LB_Block4,C10,O1,none,xoutlier
P35364,LB-O-2,A25364,LB-O-2,none,none,nature,wild,none,S45364,O-2,leaf,Emelliodora_LB_Block4,D10,O2,none,xoutlier
P35365,LB-O-3,A25365,LB-O-3,none,none,nature,wild,none,S45365,O-3,leaf,Emelliodora_LB_Block4,E10,O3,none,xoutlier
P35366,LB-O-4,A25366,LB-O-4,none,none,nature,wild,none,S45366,O-4,leaf,Emelliodora_LB_Block4,F10,O4,none,xoutlier
P35367,LB-O-5,A25367,LB-O-5,none,none,nature,wild,none,S45367,O-5,leaf,Emelliodora_LB_Block4,G10,O5,none,xoutlier
P35368,LB-O-6,A25368,LB-O-6,none,none,nature,wild,none,S45368,O-6,leaf,Emelliodora_LB_Block4,H10,O6,none,xoutlier
P35369,LB-O-7,A25369,LB-O-7,none,none,nature,wild,none,S45369,O-7,leaf,Emelliodora_LB_Block4,A11,O7,none,xoutlier
P35370,LB-O-8,A25370,LB-O-8,none,none,nature,wild,none,S45370,O-8,leaf,Emelliodora_LB_Block4,B11,O8,none,xoutlier
P35371,LB-O-9,A25371,LB-O-9,none,none,nature,wild,none,S45371,O-9,leaf,Emelliodora_LB_Block4,C11,O9,none,xoutlier
P35372,LB-O-10,A25372,LB-O-10,none,none,nature,wild,none,S45372,O-10,leaf,Emelliodora_LB_Block4,D11,O10,none,xoutlier
P35133,LB-7-1,A25133,LB-7-1,none,none,nature,wild,none,S45373,7-1R,leaf,Emelliodora_LB_Block4,E11,site7-1,none,replicate;geogout
P35134,LB-7-2,A25134,LB-7-2,none,none,nature,wild,none,S45374,7-2R,leaf,Emelliodora_LB_Block4,F11,site7-2,none,replicate;geogout
P35135,LB-7-3,A25135,LB-7-3,none,none,nature,wild,none,S45375,7-3R,leaf,Emelliodora_LB_Block4,G11,site7-3,none,replicate;geogout
P35136,LB-7-4,A25136,LB-7-4,none,none,nature,wild,none,S45376,7-4R,leaf,Emelliodora_LB_Block4,H11,site7-4,none,replicate;geogout
P35137,LB-7-5,A25137,LB-7-5,none,none,nature,wild,none,S45377,7-5R,leaf,Emelliodora_LB_Block4,A12,site7-5,none,replicate;geogout
P35138,LB-7-6,A25138,LB-7-6,none,none,nature,wild,none,S45378,7-6R,leaf,Emelliodora_LB_Block4,B12,site7-6,none,replicate;geogout
