AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,SeedlingLocation
A20100,S6T2,?,E.marginata,S6,1,2014,-33.36697,116.17917,?,?,JB/RM,none,,unknown,unknown,?,?
A20101,LT110,?,E.marginata,T5,1,2014,-34.54916,116.65687,?,?,JB/RM,none,,unknown,unknown,?,?
A20102,LT97,?,E.marginata,T4,1,2014,-34.0887,116.39256,?,?,JB/RM,none,,unknown,unknown,?,?
A20103,LT37,?,E.marginata,T2,1,2014,-32.71325,115.99771,?,?,JB/RM,none,,unknown,unknown,?,?
A20104,S4T9,?,E.marginata,S4,1,2014,-32.80764,116.21969,?,?,JB/RM,none,,unknown,unknown,?,?
A20105,S1T1,?,E.marginata,S1,1,2014,-32.33939,116.07556,?,?,JB/RM,none,,unknown,unknown,?,?
A20106,LT12,?,E.marginata,T2,1,2014,-32.8296,116.47147,?,?,JB/RM,none,,unknown,unknown,?,?
A20107,LT2,?,E.marginata,T1,1,2014,-32.36637,116.15427,?,?,JB/RM,none,,unknown,unknown,?,?
A20108,S6T9,?,E.marginata,S6,1,2014,-33.37302,116.17448,?,?,JB/RM,none,,unknown,unknown,?,?
A20109,LT113,?,E.marginata,T5,1,2014,-34.39389,116.52283,?,?,JB/RM,none,,unknown,unknown,?,?
A20110,LT19,?,E.marginata,T2,1,2014,-32.83762,116.46709,?,?,JB/RM,none,,unknown,unknown,?,?
A20111,S5T7,?,E.marginata,S5,1,2014,-32.75099,116.08483,?,?,JB/RM,none,,unknown,unknown,?,?
A20112,S3T5,?,E.marginata,S3,1,2014,-32.45094,116.52946,?,?,JB/RM,none,,unknown,unknown,?,?
A20113,LT17,?,E.marginata,T2,1,2014,-32.83592,116.46804,?,?,JB/RM,none,,unknown,unknown,?,?
A20114,LT26,?,E.marginata,T2,1,2014,-32.86766,116.43665,?,?,JB/RM,none,,unknown,unknown,?,?
A20115,S6T15,?,E.marginata,S6,1,2014,-33.37376,116.16936,?,?,JB/RM,none,,unknown,unknown,?,?
A20116,S10T3,?,E.marginata,S10,1,2014,-34.75063,116.71595,?,?,JB/RM,none,,unknown,unknown,?,?
A20117,S5T4,?,E.marginata,S5,1,2014,-32.74641,116.08344,?,?,JB/RM,none,,unknown,unknown,?,?
A20118,LT58NR,?,E.marginata,T3,1,2014,-33.37198,116.2977,?,?,JB/RM,none,,unknown,unknown,?,?
A20119,S8T4,?,E.marginata,S8,1,2014,-33.92027,115.41271,?,?,JB/RM,none,,unknown,unknown,?,?
A20120,S2T12,?,E.marginata,S2,1,2014,-32.38484,116.31353,?,?,JB/RM,none,,unknown,unknown,?,?
A20121,LT72,?,E.marginata,T4,1,2014,-33.9407,115.24699,?,?,JB/RM,none,,unknown,unknown,?,?
A20122,LT13,?,E.marginata,T2,1,2014,-32.83124,116.4706,?,?,JB/RM,none,,unknown,unknown,?,?
A20123,LT11,?,E.marginata,T2,1,2014,-32.82808,116.47256,?,?,JB/RM,none,,unknown,unknown,?,?
A20124,LT77,?,E.marginata,T4,1,2014,-33.91629,115.48325,?,?,JB/RM,none,,unknown,unknown,?,?
A20125,LT91,?,E.marginata,T4,1,2014,-33.99345,116.06799,?,?,JB/RM,none,,unknown,unknown,?,?
A20126,LT76,?,E.marginata,T4,1,2014,-33.91811,115.44986,?,?,JB/RM,none,,unknown,unknown,?,?
A20127,S2T13,?,E.marginata,S2,1,2014,-32.38584,116.31461,?,?,JB/RM,none,,unknown,unknown,?,?
A20128,LT87,?,E.marginata,T4,1,2014,-33.99268,115.8452,?,?,JB/RM,none,,unknown,unknown,?,?
A20129,S5T10,?,E.marginata,S5,1,2014,-32.74302,116.07868,?,?,JB/RM,none,,unknown,unknown,?,?
A20130,LT84,?,E.marginata,T4,1,2014,-33.96102,115.70586,?,?,JB/RM,none,,unknown,unknown,?,?
A20131,LT51,?,E.marginata,T3,1,2014,-33.27108,116.52245,?,?,JB/RM,none,,unknown,unknown,?,?
A20132,LT111,?,E.marginata,T5,1,2014,-34.49363,116.63436,?,?,JB/RM,none,,unknown,unknown,?,?
A20133,LT98,?,E.marginata,T4,1,2014,-34.10289,116.46612,?,?,JB/RM,none,,unknown,unknown,?,?
A20134,LT32,?,E.marginata,T2,1,2014,-32.75137,116.16,?,?,JB/RM,none,,unknown,unknown,?,?
A20135,LT35,?,E.marginata,T2,1,2014,-32.71638,116.05927,?,?,JB/RM,none,,unknown,unknown,?,?
A20136,S1T13,?,E.marginata,S1,1,2014,-32.34804,116.09123,?,?,JB/RM,none,,unknown,unknown,?,?
A20137,S7T3,?,E.marginata,S7,1,2014,-33.22523,116.58746,?,?,JB/RM,none,,unknown,unknown,?,?
A20138,S3T7,?,E.marginata,S3,1,2014,-32.451,116.53197,?,?,JB/RM,none,,unknown,unknown,?,?
A20139,LT80,?,E.marginata,T4,1,2014,-33.92577,115.5812,?,?,JB/RM,none,,unknown,unknown,?,?
A20140,S9T2,?,E.marginata,S9,1,2014,-34.07825,116.57017,?,?,JB/RM,none,,unknown,unknown,?,?
A20141,LT3,?,E.marginata,T1,1,2014,-32.36928,116.18626,?,?,JB/RM,none,,unknown,unknown,?,?
A20142,LT30,?,E.marginata,T2,1,2014,-32.80313,116.24879,?,?,JB/RM,none,,unknown,unknown,?,?
A20143,S3T10,?,E.marginata,S3,1,2014,-32.45121,116.53616,?,?,JB/RM,none,,unknown,unknown,?,?
A20144,LT66,?,E.marginata,T3,1,2014,-33.31934,115.73087,?,?,JB/RM,none,,unknown,unknown,?,?
A20145,LT115,?,E.marginata,T5,1,2014,-34.27254,116.19529,?,?,JB/RM,none,,unknown,unknown,?,?
A20146,S3T15,?,E.marginata,S3,1,2014,-32.45177,116.54329,?,?,JB/RM,none,,unknown,unknown,?,?
A20147,LT41,?,E.marginata,T2,1,2014,-32.67619,115.85899,?,?,JB/RM,none,,unknown,unknown,?,?
A20148,LT8,?,E.marginata,T1,1,2014,-32.43634,116.40794,?,?,JB/RM,none,,unknown,unknown,?,?
A20149,S4T14,?,E.marginata,S4,1,2014,-32.79194,116.22904,?,?,JB/RM,none,,unknown,unknown,?,?
A20150,LT62,?,E.marginata,T3,1,2014,-33.31871,115.98141,?,?,JB/RM,none,,unknown,unknown,?,?
A20151,S5T5,?,E.marginata,S5,1,2014,-32.74787,116.08394,?,?,JB/RM,none,,unknown,unknown,?,?
A20152,S1T10,?,E.marginata,S1,1,2014,-32.34517,116.08793,?,?,JB/RM,none,,unknown,unknown,?,?
A20153,LT118,?,E.marginata,T5,1,2014,-33.80476,115.67003,?,?,JB/RM,none,,unknown,unknown,?,?
A20154,LT83,?,E.marginata,T4,1,2014,-33.95417,115.67508,?,?,JB/RM,none,,unknown,unknown,?,?
A20155,S9T8,?,E.marginata,S9,1,2014,-34.07595,116.57994,?,?,JB/RM,none,,unknown,unknown,?,?
A20156,LT1,?,E.marginata,T1,1,2014,-32.35943,116.12353,?,?,JB/RM,none,,unknown,unknown,?,?
A20157,S1T14,?,E.marginata,S1,1,2014,-32.34943,116.09187,?,?,JB/RM,none,,unknown,unknown,?,?
A20158,S9T15,?,E.marginata,S9,1,2014,-34.07245,116.59295,?,?,JB/RM,none,,unknown,unknown,?,?
A20159,S4T6,?,E.marginata,S4,1,2014,-32.80495,116.22237,?,?,JB/RM,none,,unknown,unknown,?,?
A20160,S5T6,?,E.marginata,S5,1,2014,-32.74915,116.08443,?,?,JB/RM,none,,unknown,unknown,?,?
A20161,LT7,?,E.marginata,T1,1,2014,-32.40617,116.35989,?,?,JB/RM,none,,unknown,unknown,?,?
A20162,LT85,?,E.marginata,T4,1,2014,-33.96866,115.73733,?,?,JB/RM,none,,unknown,unknown,?,?
A20163,S6T4,?,E.marginata,S6,1,2014,-33.36876,116.17751,?,?,JB/RM,none,,unknown,unknown,?,?
A20164,S3T13,?,E.marginata,S3,1,2014,-32.45158,116.54031,?,?,JB/RM,none,,unknown,unknown,?,?
A20165,LT48,?,E.marginata,T2,1,2014,-32.85978,115.70316,?,?,JB/RM,none,,unknown,unknown,?,?
A20166,S7T2,?,E.marginata,S7,1,2014,-33.22421,116.5879,?,?,JB/RM,none,,unknown,unknown,?,?
A20167,LT39,?,E.marginata,T2,1,2014,-32.6642,115.88882,?,?,JB/RM,none,,unknown,unknown,?,?
