AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,SeedlingLocation
A20218,LT106,?,E.marginata,T5,1,2014,-34.69292,116.70643,?,?,JB/RM,none,,unknown,unknown,?,?
A20219,S9T4,?,E.marginata,S9,1,2014,-34.07749,116.57375,?,?,JB/RM,none,,unknown,unknown,?,?
A20220,S8T15,?,E.marginata,S8,1,2014,-33.92344,115.38905,?,?,JB/RM,none,,unknown,unknown,?,?
A20221,S3T9,?,E.marginata,S3,1,2014,-32.45095,116.53497,?,?,JB/RM,none,,unknown,unknown,?,?
A20222,LT68,?,E.marginata,T5,1,2014,-33.76601,115.42317,?,?,JB/RM,none,,unknown,unknown,?,?
A20223,S7T12,?,E.marginata,S7,1,2014,-33.23153,116.57593,?,?,JB/RM,none,,unknown,unknown,?,?
A20224,S6T11,?,E.marginata,S6,1,2014,-33.37521,116.17411,?,?,JB/RM,none,,unknown,unknown,?,?
A20225,S9T1,?,E.marginata,S9,1,2014,-34.07878,116.56883,?,?,JB/RM,none,,unknown,unknown,?,?
A20226,LT116,?,E.marginata,T5,1,2014,-34.2188,115.97904,?,?,JB/RM,none,,unknown,unknown,?,?
A20227,LT67,?,E.marginata,T3,1,2014,-33.42204,115.62144,?,?,JB/RM,none,,unknown,unknown,?,?
A20228,S2T14,?,E.marginata,S2,1,2014,-32.38678,116.31481,?,?,JB/RM,none,,unknown,unknown,?,?
A20229,LT53,?,E.marginata,T3,1,2014,-33.31055,116.47189,?,?,JB/RM,none,,unknown,unknown,?,?
A20230,S5T1,?,E.marginata,S5,1,2014,-32.7408,116.08,?,?,JB/RM,none,,unknown,unknown,?,?
A20231,LT99,?,E.marginata,T4,1,2014,-34.09553,116.51817,?,?,JB/RM,none,,unknown,unknown,?,?
A20232,LT120,?,E.marginata,T5,1,2014,-33.62514,115.86021,?,?,JB/RM,none,,unknown,unknown,?,?
A20233,S1T2,?,E.marginata,S1,1,2014,-32.34024,116.07703,?,?,JB/RM,none,,unknown,unknown,?,?
A20234,LT70,?,E.marginata,T4,1,2014,-33.97291,115.13964,?,?,JB/RM,none,,unknown,unknown,?,?
A20235,LT109,?,E.marginata,T5,1,2014,-34.5811,116.68137,?,?,JB/RM,none,,unknown,unknown,?,?
A20236,LT22,?,E.marginata,T2,1,2014,-32.83907,116.47041,?,?,JB/RM,none,,unknown,unknown,?,?
A20237,S6T12,?,E.marginata,S6,1,2014,-33.37577,116.1732,?,?,JB/RM,none,,unknown,unknown,?,?
